@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
137,20,44,2,347,0.005731,0.3125,0.909091,0.3125,0.090909,0.465116,0.053269,5.866477,0.556667
138,19,45,2,347,0.005731,0.296875,0.904762,0.296875,0.095238,0.447059,0.050847,5.838542,0.573333
139,18,46,2,347,0.005731,0.28125,0.9,0.28125,0.1,0.428571,0.048426,5.807812,0.581716
140,17,47,2,347,0.005731,0.265625,0.894737,0.265625,0.105263,0.409639,0.046005,5.773849,0.59
141,14,50,1,348,0.002865,0.21875,0.933333,0.21875,0.066667,0.35443,0.03632,6.022917,0.628333
142,13,51,1,348,0.002865,0.203125,0.928571,0.203125,0.071429,0.333333,0.033898,5.992188,0.63
143,13,51,0,349,0,0.203125,1,0.203125,0,0.337662,0.031477,6.453125,0.638333
144,12,52,0,349,0,0.1875,1,0.1875,0,0.315789,0.029056,6.453125,0.65
145,10,54,0,349,0,0.15625,1,0.15625,0,0.27027,0.024213,6.453125,0.652382
146,9,55,0,349,0,0.140625,1,0.140625,0,0.246575,0.021792,6.453125,0.66
147,8,56,0,349,0,0.125,1,0.125,0,0.222222,0.01937,6.453125,0.67276
148,7,57,0,349,0,0.109375,1,0.109375,0,0.197183,0.016949,6.453125,0.696716
149,6,58,0,349,0,0.09375,1,0.09375,0,0.171429,0.014528,?,0.716446
150,5,59,0,349,0,0.078125,1,0.078125,0,0.144928,0.012107,?,0.72875
151,4,60,0,349,0,0.0625,1,0.0625,0,0.117647,0.009685,?,0.7375
152,3,61,0,349,0,0.046875,1,0.046875,0,0.089552,0.007264,?,0.741833
153,2,62,0,349,0,0.03125,1,0.03125,0,0.060606,0.004843,?,0.75
154,1,63,0,349,0,0.015625,1,0.015625,0,0.030769,0.002421,?,0.794762
155,0,64,0,349,0,0,?,0,?,?,0,?,0.794772
